AREA_ID,AREA_NM,ALL_KWRD_RANK_CO,ALL_KWRD_NM,ALL_KWRD_OCCU_RT,ALL_KWRD_CO,PASSNGR_KWRD_RANK_CO,PASSNGR_KWRD_NM,PASSNGR_KWRD_OCCU_RT,PASSNGR_KWRD_CO,LCLS_KWRD_RANK_CO,LCLS_KWRD_NM,LCLS_KWRD_OCCU_RT,LCLS_KWRD_CO
IC_02,인천광역시,2,공원,5.00,113,2,해변,5.20,49,2,월미도,4.70,63
IC_03,인천광역시,3,월미도,4.10,93,3,호텔,4.80,45,3,먹거리,4.20,56
IC_04,인천광역시,4,호텔,3.70,85,4,해산물,3.90,36,3,송도,4.20,56
IC_05,인천광역시,5,센트럴파크,3.60,82,5,공원,3.60,34,5,바다,4.00,54
IC_06,인천광역시,6,먹거리,3.60,81,6,센트럴파크,3.50,33,6,센트럴파크,3.70,49
IC_07,인천광역시,6,해변,3.60,81,7,월미도,3.20,30,7,차이나타운,3.30,44
IC_08,인천광역시,8,송도,3.50,80,7,카페,3.20,30,8,호텔,3.00,40
IC_09,인천광역시,9,해산물,3.00,69,9,조개구이,2.80,26,9,맛집,2.90,39
IC_10,인천광역시,10,차이나타운,2.80,63,10,먹거리,2.70,25,9,계양산,2.90,39
IC_11,인천광역시,11,카페,2.60,59,11,송도,2.60,24,11,해산물,2.50,33
IC_12,인천광역시,12,맛집,2.30,52,12,차이나타운,2.00,19,12,해변,2.40,32
IC_13,인천광역시,13,부평,1.80,42,12,산책,2.00,19,12,부평,2.40,32
IC_14,인천광역시,14,계양산,1.80,40,14,회,1.80,17,14,아라뱃길,2.30,31
IC_15,인천광역시,15,조개구이,1.60,37,15,호캉스,1.70,16,15,카페,2.20,29
IC_16,인천광역시,15,축제,1.60,37,16,을왕리,1.60,15,16,인천대공원,2.00,27
IC_17,인천광역시,15,호수공원,1.60,37,17,시장,1.50,14,17,축제,1.90,26
IC_18,인천광역시,18,소래포구,1.60,36,17,인천,1.50,14,18,호수공원,1.80,24
IC_19,인천광역시,18,아라뱃길,1.60,36,17,펜션,1.50,14,18,닭강정,1.80,24
IC_20,인천광역시,20,시장,1.50,35,17,재래시장,1.50,14,20,소래포구,1.70,23
IC_21,인천광역시,20,청라,1.50,35,17,강화,1.50,14,21,청라,1.60,22
IC_22,인천광역시,22,인천,1.50,34,17,해수욕장,1.50,14,22,시장,1.60,21
IC_23,인천광역시,22,회,1.50,34,23,맛집,1.40,13,23,인천,1.50,20
IC_24,인천광역시,24,산책,1.50,33,23,호수공원,1.40,13,24,펜션,1.40,19
IC_25,인천광역시,24,펜션,1.50,33,23,소래포구,1.40,13,24,도시,1.40,19
IC_26,인천광역시,26,재래시장,1.40,32,23,청라,1.40,13,26,재래시장,1.30,18
IC_27,인천광역시,27,강화,1.40,31,23,칼국수,1.40,13,26,산,1.30,18
IC_28,인천광역시,27,닭강정,1.40,31,23,휴식,1.40,13,26,신포시장,1.30,18
IC_29,인천광역시,27,도시,1.40,31,29,도시,1.30,12,29,회,1.30,17
IC_30,인천광역시,27,을왕리,1.40,31,29,마니산,1.30,12,29,강화,1.30,17
IC_31,인천광역시,27,인천대공원,1.40,31,29,파라다이스시티,1.30,12,29,등산,1.30,17
IC_32,인천광역시,,,,,29,힐링,1.30,12,,,,
IC_33,인천광역시,,,,,29,무의도,1.30,12,,,,
JN_01,전라남도,1,바다,4.70,267,1,바다,5.40,174,1,해산물,3.90,99
JN_02,전라남도,2,해산물,4.10,235,2,해산물,4.20,136,2,바다,3.70,93
JN_03,전라남도,3,먹거리,3.30,191,3,먹거리,3.90,125,3,낙지,3.10,78
JN_04,전라남도,4,낙지,2.50,143,4,해변,2.60,85,4,축제,3.00,75
JN_05,전라남도,4,한우,2.50,143,5,힐링,2.40,77,5,한우,2.80,71
JN_06,전라남도,6,해변,2.10,122,6,케이블카,2.30,75,6,먹거리,2.60,66
JN_07,전라남도,7,케이블카,2.00,117,7,한우,2.20,72,7,회,2.10,53
JN_08,전라남도,8,회,2.00,115,8,낙지,2.00,65,7,순천만국가정원,2.10,53
JN_09,전라남도,9,축제,2.00,113,9,회,1.90,62,9,한정식,2.00,51
JN_10,전라남도,10,힐링,1.80,105,10,산,1.70,54,10,홍어,1.90,48
JN_11,전라남도,11,순천만국가정원,1.80,103,11,한정식,1.60,52,11,유달산,1.80,45
JN_12,전라남도,11,한정식,1.80,103,12,순천만국가정원,1.50,50,12,케이블카,1.70,42
JN_13,전라남도,13,산,1.50,86,13,여수,1.50,49,13,펜션,1.50,38
JN_14,전라남도,14,펜션,1.30,75,13,쏠비치,1.50,49,14,해변,1.50,37
JN_15,전라남도,15,리조트,1.30,74,15,리조트,1.50,47,15,꼬막,1.40,35
JN_16,전라남도,16,홍어,1.30,73,16,떡갈비,1.40,46,16,산,1.30,32
JN_17,전라남도,17,순천만습지,1.30,72,17,순천만습지,1.40,45,17,게장,1.20,31
JN_18,전라남도,18,순천만,1.20,69,18,순천만,1.30,41,18,공원,1.20,30
JN_19,전라남도,18,유달산,1.20,69,18,호텔,1.30,41,18,전복,1.20,30
JN_20,전라남도,20,공원,1.20,68,20,자연,1.20,40,18,갓김치,1.20,30
JN_21,전라남도,21,전복,1.20,67,21,축제,1.20,38,18,해수욕장,1.20,30
JN_22,전라남도,22,여수,1.10,66,21,공원,1.20,38,18,광양불고기,1.20,30
JN_23,전라남도,23,녹차밭,1.10,65,21,죽녹원,1.20,38,23,녹차밭,1.20,29
JN_24,전라남도,24,떡갈비,1.10,64,24,펜션,1.10,37,24,힐링,1.10,28
JN_25,전라남도,25,게장,1.10,61,24,전복,1.10,37,24,순천만,1.10,28
JN_26,전라남도,25,죽녹원,1.10,61,26,녹차밭,1.10,36,26,리조트,1.10,27
JN_27,전라남도,25,호텔,1.10,61,26,자연경관,1.10,36,26,순천만습지,1.10,27
JN_28,전라남도,28,갓김치,1.00,58,28,체험,1.10,34,26,영광굴비,1.10,27
JN_29,전라남도,28,꼬막,1.00,58,28,산책,1.10,34,29,백반,1.00,26
JN_30,전라남도,30,마을,1.00,57,30,마을,1.00,33,29,월출산,1.00,26
JN_31,전라남도,30,쏠비치,1.00,57,,,,,,,,
JNBK_01,전라북도,1,한옥마을,5.90,210,1,한옥마을,5.80,108,1,한옥마을,6.00,102
JNBK_02,전라북도,2,내장산,2.90,102,2,먹거리,3.20,59,2,내장산,3.70,63
JNBK_03,전라북도,3,먹거리,2.80,98,3,전주,2.90,53,3,한우,3.60,60
JNBK_04,전라북도,4,한우,2.60,93,4,광한루,2.30,43,4,비빔밥,3.00,50
JNBK_05,전라북도,5,전주,2.30,81,4,계곡,2.30,43,5,축제,2.50,42
JNBK_06,전라북도,6,광한루,2.20,77,6,채석강,2.20,41,6,미륵사지석탑,2.40,40
JNBK_07,전라북도,6,비빔밥,2.20,77,7,바다,2.20,40,7,먹거리,2.30,39
