AREA_ID,AREA_NM,ALL_KWRD_RANK_CO,ALL_KWRD_NM,ALL_KWRD_OCCU_RT,ALL_KWRD_CO,PASSNGR_KWRD_RANK_CO,PASSNGR_KWRD_NM,PASSNGR_KWRD_OCCU_RT,PASSNGR_KWRD_CO,LCLS_KWRD_RANK_CO,LCLS_KWRD_NM,LCLS_KWRD_OCCU_RT,LCLS_KWRD_CO
SJ_14,세종특별자치시,14,가족,2.20,5,8,베어트리파크,2.50,3,13,가족,2.70,3
SJ_15,세종특별자치시,15,대통령,1.80,4,8,신도시,2.50,3,13,대통령,2.70,3
SJ_16,세종특별자치시,15,도서관,1.80,4,8,놀거리,2.50,3,13,산책,2.70,3
SJ_17,세종특별자치시,15,박물관,1.80,4,8,산,2.50,3,13,매운탕,2.70,3
SJ_18,세종특별자치시,15,베어트리파크,1.80,4,18,식물원,1.70,2,18,도서관,1.80,2
SJ_19,세종특별자치시,15,산책,1.80,4,18,가족,1.70,2,18,복숭아,1.80,2
SJ_20,세종특별자치시,15,세종시,1.80,4,18,도서관,1.70,2,18,고기,1.80,2
SJ_21,세종특별자치시,15,신도시,1.80,4,18,베이커리,1.70,2,18,연인,1.80,2
SJ_22,세종특별자치시,22,놀거리,1.30,3,18,볼거리,1.70,2,18,중식,1.80,2
SJ_23,세종특별자치시,22,매운탕,1.30,3,18,자연경관,1.70,2,18,중앙공원,1.80,2
SJ_24,세종특별자치시,22,베이커리,1.30,3,18,피자,1.70,2,18,칼국수,1.80,2
SJ_25,세종특별자치시,22,복숭아,1.30,3,18,경관,1.70,2,25,박물관,0.90,1
SJ_26,세종특별자치시,22,볼거리,1.30,3,18,농산물,1.70,2,25,베어트리파크,0.90,1
SJ_27,세종특별자치시,22,산,1.30,3,18,빵,1.70,2,25,신도시,0.90,1
SJ_28,세종특별자치시,22,자연경관,1.30,3,18,시장먹거리,1.70,2,25,베이커리,0.90,1
SJ_29,세종특별자치시,22,피자,1.30,3,18,자연환경,1.70,2,25,볼거리,0.90,1
SJ_30,세종특별자치시,30,걷기,0.90,2,18,전통음식,1.70,2,25,자연경관,0.90,1
SJ_31,세종특별자치시,30,경관,0.90,2,18,주차,1.70,2,25,피자,0.90,1
SJ_32,세종특별자치시,30,고기,0.90,2,18,파스타,1.70,2,25,걷기,0.90,1
SJ_33,세종특별자치시,30,공주,0.90,2,18,한우,1.70,2,25,공주,0.90,1
SJ_34,세종특별자치시,30,농산물,0.90,2,,,,,25,서원,0.90,1
SJ_35,세종특별자치시,30,빵,0.90,2,,,,,25,스테이,0.90,1
SJ_36,세종특별자치시,30,서원,0.90,2,,,,,25,아파트,0.90,1
SJ_37,세종특별자치시,30,스테이,0.90,2,,,,,25,친구,0.90,1
SJ_38,세종특별자치시,30,시장먹거리,0.90,2,,,,,25,템플,0.90,1
SJ_39,세종특별자치시,30,아파트,0.90,2,,,,,25,프랜차이즈,0.90,1
SJ_40,세종특별자치시,30,연인,0.90,2,,,,,25,한식,0.90,1
SJ_41,세종특별자치시,30,자연환경,0.90,2,,,,,25,계족산,0.90,1
